30,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,33
38,00,00,00,00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,05,00,00,00,3B
38,00,00,00,00,34,39,39,39,39,39,39,39,35,00,00,00,FF,FF,FF,00,00,00,00,02,00,00,00,3B
38,00,00,00,00,3B,3F,3F,3F,3F,3F,3F,3F,38,00,00,00,FF,50,FF,01,05,00,00,02,00,00,00,3B
38,00,00,00,00,3B,3F,3F,30,3A,33,3F,3F,38,00,00,00,FF,FF,FF,00,02,00,00,02,00,00,00,3B
38,00,00,00,00,3B,3F,30,37,00,36,33,3F,38,00,44,01,01,0C,01,01,0B,01,01,0B,01,01,44,3B
38,00,00,00,00,3B,3F,38,00,44,00,3B,3F,38,00,00,00,00,02,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,04,3B,3F,32,35,02,34,31,3F,38,04,01,01,01,03,00,00,00,00,00,00,00,00,00,3B
38,00,00,04,03,3B,3F,3F,32,39,31,3F,3F,38,02,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,04,03,00,3B,3F,3F,3F,3F,3F,3F,3F,38,02,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,02,00,00,36,3A,3A,3A,3A,3A,3A,3A,37,02,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,01,0B,01,01,44,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,00,00,00,00,00,00,00,00,00,06,05,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,44,00,00,00,00,00,00,00,00,00,06,05,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,06,05,00,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,06,05,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,0E,01,01,01,01,01,01,01,01,01,3B
38,01,01,01,01,0D,00,00,00,00,00,00,00,00,00,00,00,04,03,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,06,05,00,00,00,00,00,00,00,00,00,04,03,00,00,00,04,01,01,44,00,00,00,3B
38,00,00,00,00,00,06,05,00,00,00,00,00,00,00,00,02,00,00,00,00,02,00,00,00,00,00,00,3B
38,00,00,00,00,00,00,06,05,00,04,01,01,01,01,01,0B,01,01,01,01,0B,01,01,01,01,01,01,3B
38,00,00,00,00,00,00,00,06,0A,03,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,00,00,00,00,44,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
38,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3B
32,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,31
